"Table 6. Cumulative birth rates, by live-birth order, exact age, and race of women in selected groups of cohorts from 1912-1916 through 1987-1991: United States, 1961-2006",,,,,,,,,,,,
,,,,,,,,,,,,
"[A cohort is identified by the year in which the women were born. Because these women retain this designation throughout their childbearing years, their fertility can be followed over time. Live-birth order refers to number of children born alive to mother. Cumulative birth rates are the sums of central birth rates for the 5-year age cohorts up to the specified age. Rates are per 1,000 women.  For method of computation, see Technical Appendix to the Cohort Fertility Tables]",,,,,,,,,,,,
,,,,,,,,,,,,
Race of women,Exact age of women as of January 1 of year,Cohort birth year of women,Year,Live-birth order total,Live-birth order 1,Live-birth order 2,Live-birth order 3,Live-birth order 4,Live-birth order 5,Live-birth order 6,Live-birth order 7,Live-birth order 8 and over
,,,,,,,,,,,,
All races1,15-19 years,1987-1991,2006,52.9,46.2,6,0.7,0,*,*,*,*
All races1,15-19 years,1986-1990,2005,54.1,47.2,6.2,0.7,0,*,*,*,*
All races1,15-19 years,1985-1989,2004,56.1,48.8,6.5,0.8,0,*,*,*,*
All races1,15-19 years,1984-1988,2003,59,51.1,7,0.8,0.1,*,*,*,*
All races1,15-19 years,1983-1987,2002,62.6,54.1,7.5,0.9,0.1,*,*,*,*
All races1,15-19 years,1982-1986,2001,66.3,57.3,7.9,1,0.1,*,*,*,*
All races1,15-19 years,1981-1985,2000,69.4,59.9,8.3,1.1,0.1,*,*,*,*
All races1,15-19 years,1980-1984,1999,73.3,63,9,1.2,0.1,*,*,*,*
All races1,15-19 years,1979-1983,1998,77,66.1,9.5,1.3,0.1,*,*,*,*
All races1,15-19 years,1978-1982,1997,80.7,69.3,10,1.3,0.1,*,*,*,*
All races1,15-19 years,1977-1981,1996,84.1,71.8,10.6,1.5,0.2,*,*,*,*
All races1,15-19 years,1976-1980,1995,85.7,72.5,11.3,1.7,0.2,*,*,*,*
All races1,15-19 years,1975-1979,1994,86.3,72.1,12,2,0.2,*,*,*,*
All races1,15-19 years,1974-1978,1993,86.7,71.8,12.5,2.1,0.3,*,*,*,*
All races1,15-19 years,1973-1977,1992,85.3,71,12.1,2,0.2,*,*,*,*
All races1,15-19 years,1972-1976,1991,81.5,68.2,11.3,1.8,0.2,*,*,*,*
All races1,15-19 years,1971-1975,1990,77.3,65.1,10.4,1.6,0.2,*,*,*,*
All races1,15-19 years,1970-1974,1989,73.4,62.1,9.6,1.5,0.2,*,*,*,*
All races1,15-19 years,1969-1973,1988,71.7,60.9,9.3,1.4,0.1,*,*,*,*
All races1,15-19 years,1968-1972,1987,71.6,60.9,9.3,1.3,0.1,*,*,*,*
All races1,15-19 years,1967-1971,1986,71.9,61.2,9.3,1.3,0.1,*,*,*,*
All races1,15-19 years,1966-1970,1985,71.7,61.2,9.2,1.2,0.1,*,*,*,*
All races1,15-19 years,1965-1969,1984,72.4,61.9,9.2,1.2,0.1,*,*,*,*
All races1,15-19 years,1964-1968,1983,73.1,62.5,9.3,1.2,0.1,*,*,*,*
All races1,15-19 years,1963-1967,1982,73.4,63,9.2,1.1,0.1,*,*,*,*
All races1,15-19 years,1962-1966,1981,74.8,64.2,9.4,1.1,0.1,*,*,*,*
All races1,15-19 years,1961-1965,1980,75.9,65,9.6,1.2,0.1,*,*,*,*
All races1,15-19 years,1960-1964,1979,77,66,9.7,1.2,0.1,*,*,*,*
All races1,15-19 years,1959-1963,1978,79.2,68.2,9.8,1.1,0.1,*,*,*,*
All races1,15-19 years,1958-1962,1977,81.1,70,9.9,1.1,0.1,*,*,*,*
All races1,15-19 years,1957-1961,1976,84.4,72.8,10.3,1.2,0.1,*,*,*,*
All races1,15-19 years,1956-1960,1975,86.4,74.6,10.5,1.2,0.1,*,*,*,*
All races1,15-19 years,1955-1959,1974,87.8,75.7,10.7,1.3,0.1,*,*,*,*
All races1,15-19 years,1954-1958,1973,88.3,75.6,11.2,1.4,0.1,*,*,*,*
All races1,15-19 years,1953-1957,1972,88.5,74.9,11.8,1.6,0.2,*,*,*,*
All races1,15-19 years,1952-1956,1971,88.3,74.3,12.1,1.7,0.2,*,*,*,*
All races1,15-19 years,1951-1955,1970,85.4,71.2,12.2,1.8,0.2,*,*,*,*
All races1,15-19 years,1950-1954,1969,85.2,70.3,12.7,2,0.2,*,*,*,*
All races1,15-19 years,1949-1953,1968,86.2,70.2,13.5,2.2,0.3,*,*,*,*
All races1,15-19 years,1948-1952,1967,87.9,71.1,14.1,2.4,0.3,*,*,*,*
All races1,15-19 years,1947-1951,1966,90.6,72,15.4,2.8,0.4,*,*,*,*
All races1,15-19 years,1946-1950,1965,95.5,74.6,17.2,3.2,0.5,*,*,*,*
All races1,15-19 years,1945-1949,1964,99.9,77.3,18.6,3.5,0.5,*,*,*,*
All races1,15-19 years,1944-1948,1963,103.8,80,19.6,3.7,0.5,*,*,*,*
All races1,15-19 years,1943-1947,1962,107.6,83.1,20.2,3.8,0.5,*,*,*,*
All races1,15-19 years,1942-1946,1961,111.3,85.9,21.1,3.8,0.5,*,*,*,*
,,,,,,,,,,,,
,,,,,,,,,,,,
All races1,20-24 years,1982-1986,2006,426.7,285.3,104.1,29.1,6.5,1.2,0.3,0.1,0.1
All races1,20-24 years,1981-1985,2005,436,291,106.7,29.9,6.7,1.2,0.3,0.1,0.1
All races1,20-24 years,1980-1984,2004,448.2,298.2,110.1,31.1,7,1.3,0.3,0.1,0.1
All races1,20-24 years,1979-1983,2003,461.4,305.8,113.8,32.4,7.4,1.4,0.4,0.1,0.1
All races1,20-24 years,1978-1982,2002,474.8,313.7,117.5,33.7,7.7,1.5,0.4,0.2,0.1
All races1,20-24 years,1977-1981,2001,485.4,320.5,120.3,34.5,8,1.5,0.3,0.2,0.1
All races1,20-24 years,1976-1980,2000,492.4,325.4,121.8,34.7,8.1,1.6,0.4,0.3,0.1
All races1,20-24 years,1975-1979,1999,500,330.4,123.5,35.2,8.3,1.7,0.4,0.3,0.2
All races1,20-24 years,1974-1978,1998,505.8,334.7,124.5,35.6,8.6,1.7,0.4,0.2,0.1
All races1,20-24 years,1973-1977,1997,511,337.2,125.8,36.4,9,1.8,0.4,0.2,0.2
All races1,20-24 years,1972-1976,1996,512.9,336.6,126.9,37.3,9.4,1.9,0.4,0.2,0.2
All races1,20-24 years,1971-1975,1995,511.4,333,127.5,38.3,9.8,2,0.5,0.2,0.1
All races1,20-24 years,1970-1974,1994,506.2,327.9,126.6,38.8,10,2.1,0.6,0.1,0.1
All races1,20-24 years,1969-1973,1993,498.4,322.5,124.6,38.4,10,2.1,0.5,0.2,0.1
